user_id,age,gender,region,facility_access,interest_team_vs_individual,interest_outdoor_preference,interest_competition_drive,interest_risk_tolerance,interest_creative_expression,interest_social_enjoyment,interest_endurance_interest,interest_power_interest,interest_speed_agility_interest,interest_spectator_engagement,interest_ambition_level,interest_strategy_preference,strength_endurance_self,strength_strength_self,strength_speed_self,strength_flexibility_self,strength_coordination_self,strength_agility_self,strength_reaction_time_self,strength_strategy_self,height_cm,weight_kg,bmi,sprint_100m_s,jump_cm,play_football_soccer,watch_football_soccer,enjoy_football_soccer,hours_football_soccer,pro_football_soccer,play_cricket,watch_cricket,enjoy_cricket,hours_cricket,pro_cricket,play_basketball,watch_basketball,enjoy_basketball,hours_basketball,pro_basketball,play_tennis,watch_tennis,enjoy_tennis,hours_tennis,pro_tennis,play_badminton,watch_badminton,enjoy_badminton,hours_badminton,pro_badminton,play_table_tennis,watch_table_tennis,enjoy_table_tennis,hours_table_tennis,pro_table_tennis,play_volleyball,watch_volleyball,enjoy_volleyball,hours_volleyball,pro_volleyball,play_swimming,watch_swimming,enjoy_swimming,hours_swimming,pro_swimming,play_athletics_track,watch_athletics_track,enjoy_athletics_track,hours_athletics_track,pro_athletics_track,play_cycling,watch_cycling,enjoy_cycling,hours_cycling,pro_cycling,play_martial_arts,watch_martial_arts,enjoy_martial_arts,hours_martial_arts,pro_martial_arts,play_boxing,watch_boxing,enjoy_boxing,hours_boxing,pro_boxing,play_gymnastics,watch_gymnastics,enjoy_gymnastics,hours_gymnastics,pro_gymnastics,play_archery,watch_archery,enjoy_archery,hours_archery,pro_archery,play_rock_climbing,watch_rock_climbing,enjoy_rock_climbing,hours_rock_climbing,pro_rock_climbing,play_rugby,watch_rugby,enjoy_rugby,hours_rugby,pro_rugby,play_weightlifting,watch_weightlifting,enjoy_weightlifting,hours_weightlifting,pro_weightlifting,play_esports,watch_esports,enjoy_esports,hours_esports,pro_esports,play_skateboarding,watch_skateboarding,enjoy_skateboarding,hours_skateboarding,pro_skateboarding,play_rowing,watch_rowing,enjoy_rowing,hours_rowing,pro_rowing
U0000,15,female,north_america,1,4,2,1,1,4,3,2,5,4,3,3,3,2,3,3,3,3,2,4,5,163.9,71.3,26.5,17.81,37.3,0,0,0.0,0.0,3,0,0,0.0,0.0,3,1,1,8.7,5.1,3,0,1,0.0,0.0,3,0,0,0.0,0.0,3,0,1,0.0,0.0,3,1,1,5.5,4.2,3,0,1,0.0,0.0,3,0,0,0.0,0.0,3,0,0,0.0,0.0,2,1,0,7.1,4.5,3,0,1,0.0,0.0,3,0,0,0.0,0.0,3,0,0,0.0,0.0,3,0,1,0.0,0.0,3,0,1,0.0,0.0,3,0,0,0.0,0.0,3,0,1,0.0,0.0,3,1,1,6.3,3.7,3,1,0,3.7,4.1,3
U0001,34,female,oceania,1,3,5,3,4,4,2,4,3,1,1,2,4,4,3,3,4,2,2,2,4,163.2,71.4,26.8,18.9,38.2,0,0,0.0,0.0,3,0,1,0.0,0.0,3,0,0,0.0,0.0,3,1,0,8.5,4.8,3,0,1,0.0,0.0,3,0,0,0.0,0.0,3,0,0,0.0,0.0,3,0,1,0.0,0.0,3,0,0,0.0,0.0,3,0,1,0.0,0.0,3,0,1,0.0,0.0,3,0,0,0.0,0.0,3,0,1,0.0,0.0,3,0,1,0.0,0.0,3,1,0,5.7,4.4,3,0,1,0.0,0.0,3,0,0,0.0,0.0,3,0,1,0.0,0.0,3,0,1,0.0,0.0,3,0,1,0.0,0.0,3
U0002,31,female,europe,4,3,3,5,2,3,3,2,3,1,4,2,5,3,2,1,3,3,2,1,5,166.2,69.3,25.1,17.3,31.9,0,1,0.0,0.0,3,0,1,0.0,0.0,3,0,0,0.0,0.0,3,0,0,0.0,0.0,3,1,0,6.0,3.8,3,0,0,0.0,0.0,1,0,1,0.0,0.0,3,0,0,0.0,0.0,3,1,0,2.5,2.2,3,0,1,0.0,0.0,3,0,0,0.0,0.0,3,0,1,0.0,0.0,3,1,1,4.6,4.2,3,0,0,0.0,0.0,3,0,0,0.0,0.0,3,1,1,7.6,4.5,3,0,1,0.0,0.0,3,1,1,7.6,5.2,3,0,1,0.0,0.0,3,0,0,0.0,0.0,3
U0003,25,female,europe,4,3,4,3,3,2,3,3,2,3,2,5,3,4,1,4,2,3,4,5,4,168.5,68.5,24.1,12.92,29.7,1,1,10.0,5.7,3,0,1,0.0,0.0,3,1,1,9.1,5.0,3,0,1,0.0,0.0,3,0,0,0.0,0.0,3,0,0,0.0,0.0,3,1,1,10.0,5.2,3,1,1,8.2,5.3,3,0,1,0.0,0.0,3,0,1,0.0,0.0,3,0,1,0.0,0.0,3,0,0,0.0,0.0,3,0,1,0.0,0.0,3,0,0,0.0,0.0,3,0,1,0.0,0.0,3,0,0,0.0,0.0,3,0,0,0.0,0.0,3,0,1,0.0,0.0,3,0,1,0.0,0.0,3,0,1,0.0,0.0,3
U0004,25,female,east_asia,4,5,3,3,2,3,3,5,3,4,4,5,3,4,2,1,4,5,3,3,2,161.1,62.6,24.1,20.15,70.0,0,1,0.0,0.0,3,1,1,9.1,5.2,3,1,1,10.0,6.4,3,0,0,0.0,0.0,3,0,1,0.0,0.0,3,0,0,0.0,0.0,3,1,1,10.0,5.2,3,0,0,0.0,0.0,3,1,1,10.0,4.8,3,0,0,0.0,0.0,3,1,0,10.0,6.0,3,0,1,0.0,0.0,3,0,1,0.0,0.0,3,0,1,0.0,0.0,3,0,1,0.0,0.0,3,0,1,0.0,0.0,3,0,0,0.0,0.0,3,1,0,10.0,5.6,3,0,1,0.0,0.0,3,0,1,0.0,0.0,3
U0005,37,female,europe,5,5,3,2,2,5,4,3,4,4,5,1,3,2,4,4,4,5,2,4,2,149.2,68.7,30.9,17.65,36.2,1,1,10.0,6.0,3,0,1,0.0,0.0,3,0,0,0.0,0.0,3,0,1,0.0,0.0,3,0,1,0.0,0.0,3,0,0,0.0,0.0,3,1,0,9.9,5.6,3,0,1,0.0,0.0,3,0,0,0.0,0.0,3,0,1,0.0,0.0,3,0,0,0.0,0.0,3,0,0,0.0,0.0,3,1,0,6.4,4.9,3,0,1,0.0,0.0,2,1,0,3.3,4.0,3,1,1,10.0,6.0,3,0,1,0.0,0.0,3,0,1,0.0,0.0,3,0,1,0.0,0.0,3,0,1,0.0,0.0,3
U0006,15,male,north_america,3,3,1,4,3,4,5,3,3,3,4,2,2,3,3,4,3,3,3,2,3,178.8,71.8,22.5,13.85,55.4,1,1,10.0,5.1,3,1,0,7.9,6.4,3,0,1,0.0,0.0,3,1,1,7.7,4.4,3,0,0,0.0,0.0,3,0,1,0.0,0.0,3,0,0,0.0,0.0,3,0,1,0.0,0.0,3,0,0,0.0,0.0,3,0,1,0.0,0.0,3,0,1,0.0,0.0,3,0,0,0.0,0.0,3,0,1,0.0,0.0,3,0,0,0.0,0.0,3,0,0,0.0,0.0,3,1,1,6.0,5.0,3,0,1,0.0,0.0,3,0,1,0.0,0.0,3,0,0,0.0,0.0,3,0,1,0.0,0.0,3
U0007,32,female,europe,5,4,3,1,2,5,3,2,3,3,4,2,2,3,3,3,4,4,4,4,3,167.3,70.5,25.2,17.91,32.2,1,1,9.3,5.1,3,0,0,0.0,0.0,3,1,1,6.2,4.8,3,0,0,0.0,0.0,3,0,0,0.0,0.0,3,0,1,0.0,0.0,3,0,1,0.0,0.0,3,0,0,0.0,0.0,3,0,1,0.0,0.0,3,0,1,0.0,0.0,3,0,0,0.0,0.0,3,0,0,0.0,0.0,3,0,1,0.0,0.0,3,0,0,0.0,0.0,3,0,0,0.0,0.0,3,0,1,0.0,0.0,3,0,0,0.0,0.0,3,1,1,5.4,4.3,3,0,1,0.0,0.0,3,0,1,0.0,0.0,3
U0008,18,female,south_asia,4,3,3,4,2,3,4,3,3,3,2,3,4,4,3,3,4,4,3,2,3,179.9,60.6,18.7,18.02,36.9,1,1,7.0,4.9,3,0,1,0.0,0.0,3,1,1,10.0,5.6,3,0,0,0.0,0.0,3,0,0,0.0,0.0,3,0,1,0.0,0.0,3,0,0,0.0,0.0,3,0,1,0.0,0.0,3,0,1,0.0,0.0,3,1,0,5.8,4.5,3,0,1,0.0,0.0,3,0,1,0.0,0.0,3,0,0,0.0,0.0,3,0,0,0.0,0.0,3,0,0,0.0,0.0,3,1,1,9.9,5.9,3,0,1,0.0,0.0,3,0,0,0.0,0.0,3,1,1,4.8,3.7,3,0,1,0.0,0.0,2
U0009,15,male,north_america,2,3,2,3,3,3,3,4,4,4,4,2,2,3,5,4,2,2,3,3,2,176.3,72.2,23.2,11.06,46.4,1,1,6.5,4.6,3,1,1,9.0,4.8,3,0,1,0.0,0.0,3,0,1,0.0,0.0,3,0,0,0.0,0.0,3,0,1,0.0,0.0,3,0,1,0.0,0.0,3,0,1,0.0,0.0,3,1,1,6.7,5.1,3,0,0,0.0,0.0,3,0,0,0.0,0.0,3,0,1,0.0,0.0,3,0,0,0.0,0.0,3,0,0,0.0,0.0,3,0,0,0.0,0.0,3,1,0,10.0,5.0,3,0,0,0.0,0.0,3,0,1,0.0,0.0,3,0,0,0.0,0.0,2,0,1,0.0,0.0,3
